Accelerating Heal;;;;;;5;en;Accelerating Heal;;Healing an ally also applies Rush for 1 turn.;
Accelerating Last Stand;;;34;;168;3;en;Accelerating Last Stand;;Gain Rush if fighting alone.;
Accelerating Shots;;301;;;4869;3;en;Accelerating Shots;;20% chance to gain Rush on Free Aim shot.;
Accelerating Tint;;;434;;2162;5;en;Accelerating Tint;;Healing Tints also apply Rush.;
Aegis Revival;;1990;672;;;5;en;Aegis Revival;;+1 Shield on being revived.;
Anti-Blight;;949;;;1897;10;en;Anti-Blight;;Immune to Blight.;
Anti-Burn;;801;;;1602;15;en;Anti-Burn;;Immune to Burn.;
Anti-Charm;;240;;;599;10;en;Anti-Charm;;Immune to Charm.;
Anti-Freeze;;733;;;1464;10;en;Anti-Freeze;;Immune to Freeze.;
Anti-Stun;;1572;;;2757;5;en;Anti-Stun;;Immune to Stun.;
At Death's Door;;1817;;34;;5;en;At Death's Door;;Deal 50% more damage if Health is below 10%.;
Attack Lifesteal;;;;4;88;15;en;Attack Lifesteal;;Recover 15% Health on Base Attack.;
Augmented Aim;;;21;4;;3;en;Augmented Aim;;50% increased Free Aim damage.;
Augmented Attack;;8;10;;;7;en;Augmented Attack;;50% increased Base Attack damage.;
Augmented Counter I;;;;18;4727;3;en;Augmented Counter I;;25% increased Counterattack damage.;
Augmented Counter II;;208;;15;;5;en;Augmented Counter II;;50% increased Counterattack damage.;
Augmented Counter III;;733;;23;;7;en;Augmented Counter III;;75% increased Counterattack damage.;
Augmented First Strike;;;1008;18;;5;en;Augmented First Strike;;50% increased damage on the first hit. Once per battle.;
Auto Death;;;;26;;1;en;Auto Death;;Kill self on battle start.;
Auto Powerful;;;241;20;;10;en;Auto Powerful;;Apply Powerful for 3 turns on battle start.;
Auto Regen;;479;;;;10;en;Auto Regen;;Apply Regen for 3 turns on battle start.;
Auto Rush;;;112;7;;10;en;Auto Rush;;Apply Rush for 3 turns on battle start.;
Auto Shell;;;;;411;10;en;Auto Shell;;Apply Shell for 3 turns on battle start.;
