key,source,target
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_02,Do you want to play the battle tutorial?,
ST_ActiveDialogs/ST_Dialog_Generic_Relationship_SpendTime,Do you want to spend time with {Name}?,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorial,Do you wish to go through the battle tutorial during your duel?,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorialRematch,Do you wish to have a rematch with Maelle?,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Monoco,Do you wish to play Monoco's tutorial? (Only accessible at this time.),
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Sciel,Do you wish to play Sciel's tutorial? (Only accessible at this time.),
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_Go,Go!,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_01,Maelle has recovered her memories as a Paintress.,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_02,Maelle now has access to new skills.,
ST_ActiveDialogs/ST_Dialog_Generic_No_01,No,
ST_ActiveDialogs/ST_Dialog_Generic_No_03,No!,
ST_ActiveDialogs/ST_Dialog_Generic_No_02,No.,
ST_ActiveDialogs/ST_Dialog_Generic_No_04,No?,
ST_ActiveDialogs/ST_Dialog_Generic_No_05,No…,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_Conclude,"Proceed to Emma's speech? This will conclude the festival, and Expedition 33 will depart.",
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_01,This NPC is here for this preview.,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_01,Yes,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_03,Yes!,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_02,Yes.,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_04,Yes?,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_05,Yes…,
ST_ActiveDialogs/ST_Dialog_Generic_Option_Rematch,[Ask for a rematch],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Attack,[Attack],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Cancel,[Cancel],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Examine,[Examine],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Leave,[Leave],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Merchant,[Trade],
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_TimeEventReward,"{TimeBronze} for the Bronze reward.
{TimeSilver} for the Silver reward.
{TimeGold} for the Gold reward.",
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_01,…,
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_02,…!,
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_03,…?,
ST_BattleTooltips/BATTLETOOLTIP_Absorb_Affinity,Absorbed,
ST_BattleTooltips/BATTLETOOLTIP_Mayhem_CastInvalid,Can't cast {skills}. Insufficient Stains.,
ST_BattleTooltips/BATTLETOOLTIP_Leadership_CastInvalid,Can't cast {skill} while at Rank D.,
ST_BattleTooltips/BATTLETOOLTIP_Overcharge_CastInvalid,Can't cast {skill} while at Rank S.,
ST_BattleTooltips/BATTLETOOLTIP_Rebirth_CastInvalid,Can't cast {skill}. All allies are alive.,
ST_BattleTooltips/BATTLETOOLTIP_Burden_CastInvalid,Can't cast {skill}. Allies have no Status Effect.,
ST_BattleTooltips/BATTLETOOLTIP_ElementalGenesis_CastInvalid,Can't cast {skill}. Insufficient Stains.,
ST_BattleTooltips/BATTLETOOLTIP_RiggedDistribution_CastInvalid,Can't cast {skill}. No Foretell is currently applied.,
ST_BattleTooltips/BATTLETOOLTIP_Egide_CastInvalid,Can't cast {skill}. No ally alive.,
ST_BattleTooltips/BATTLETOOLTIP_SharedBlessing_CastInvalid,Can't cast {skill}. Not enough allies are alive.,
ST_BattleTooltips/BATTLETOOLTIP_SharedBlessing_TargetInvalid,Can't cast {skill}. Target has no Buff.,
ST_BattleTooltips/BATTLETOOLTIP_RiggedDistribution_TargetInvalid,Can't cast {skill}. Target has no Foretell applied.,
ST_BattleTooltips/BATTLETOOLTIP_DarkCleansing_TargetInvalid,Can't cast {skill}. Target has no Status Effect or AP.,
ST_BattleTooltips/BATTLETOOLTIP_Leadership_Failed,Cast failed. {char} can't lose a Rank.,
ST_BattleTooltips/BATTLETOOLTIP_Dark_DamageType,Dark,
ST_BattleTooltips/BATTLETOOLTIP_Earth_DamageType,Earth,
ST_BattleTooltips/BATTLETOOLTIP_Counter_AOE,Expedition 33 performs a Counter.,
ST_BattleTooltips/BATTLETOOLTIP_Fire_DamageType,Fire,
ST_BattleTooltips/BATTLETOOLTIP_Ice_DamageType,Ice,
ST_BattleTooltips/BATTLETOOLTIP_Light_DamageType,Light,
ST_BattleTooltips/BATTLETOOLTIP_Lightning_DamageType,Lightning,
ST_BattleTooltips/BATTLETOOLTIP_Egide_TargetInvalid,Maelle can't cast {skill} on herself.,
