ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_02;Jogar o tutorial de batalha?
ST_ActiveDialogs/ST_Dialog_Generic_Relationship_SpendTime;Quer passar um tempo com {Name}?
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorial;Deseja ativar o tutorial de batalha durante seu duelo?
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorialRematch;Quer lutar novamente com Maelle?
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Monoco;Quer iniciar o tutorial de Monoco? (Só estará disponível agora.)
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Sciel;Quer iniciar o tutorial da Sciel? (Só estará disponível agora.)
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_Go;Vai!
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_01;Maelle recuperou suas memórias de Artífice.
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_02;Maelle aprendeu novas habilidades.
ST_ActiveDialogs/ST_Dialog_Generic_No_01;Não
ST_ActiveDialogs/ST_Dialog_Generic_No_03;Não!
ST_ActiveDialogs/ST_Dialog_Generic_No_02;Não.
ST_ActiveDialogs/ST_Dialog_Generic_No_04;Não?
ST_ActiveDialogs/ST_Dialog_Generic_No_05;Não...
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_Conclude;Prosseguir para o discurso da Emma? O festival será encerrado e a Expedição 33 partirá.
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_01;PNJ presente apenas nesta prévia.
ST_ActiveDialogs/ST_Dialog_Generic_Yes_01;Sim
ST_ActiveDialogs/ST_Dialog_Generic_Yes_03;Sim!
ST_ActiveDialogs/ST_Dialog_Generic_Yes_02;Sim.
ST_ActiveDialogs/ST_Dialog_Generic_Yes_04;Sim?
ST_ActiveDialogs/ST_Dialog_Generic_Yes_05;Sim...
ST_ActiveDialogs/ST_Dialog_Generic_Option_Rematch;[Pedir revanche]
ST_ActiveDialogs/ST_Dialog_Generic_Option_Attack;[Atacar]
ST_ActiveDialogs/ST_Dialog_Generic_Option_Cancel;[Cancelar]
ST_ActiveDialogs/ST_Dialog_Generic_Option_Examine;[Examinar]
ST_ActiveDialogs/ST_Dialog_Generic_Option_Leave;[Sair]
ST_ActiveDialogs/ST_Dialog_Generic_Option_Merchant;[Negociar]
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_TimeEventReward;{TimeBronze} para a recompensa de Bronze.<br />{TimeSilver} para a recompensa de Prata.<br />{TimeGold} para a recompensa de Ouro.
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_01;...
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_02;...!
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_03;...?
ST_BattleTooltips/BATTLETOOLTIP_Absorb_Affinity;Absorveu
ST_BattleTooltips/BATTLETOOLTIP_Mayhem_CastInvalid;Impossível lançar {skills}. Manchas insuficientes.
ST_BattleTooltips/BATTLETOOLTIP_Leadership_CastInvalid;Impossível lançar {skill} no Rank D.
ST_BattleTooltips/BATTLETOOLTIP_Overcharge_CastInvalid;Impossível lançar {skill} no Rank S.
ST_BattleTooltips/BATTLETOOLTIP_Rebirth_CastInvalid;Impossível lançar {skill}. Todos os aliados estão vivos.
ST_BattleTooltips/BATTLETOOLTIP_Burden_CastInvalid;Impossível lançar {skill}. Aliados estão sem efeitos de status.
ST_BattleTooltips/BATTLETOOLTIP_ElementalGenesis_CastInvalid;Impossível lançar {skill}. Manchas insuficientes.
