key,source,target
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_02,Vuoi giocare il tutorial di combattimento?,
ST_ActiveDialogs/ST_Dialog_Generic_Relationship_SpendTime,Vuoi passare del tempo con {Name}?,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorial,Vuoi vedere il tutorial della battaglia durante il duello?,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorialRematch,Desideri avere una rivincita con Maelle?,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Monoco,Desideri giocare il tutorial di Monoco? (Accessibile solo in questo momento.),
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Sciel,Desideri giocare il tutorial di Sciel? (Accessibile solo in questo momento.),
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_Go,Via!,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_01,Maelle ha recuperato i ricordi di quando era una pittrice.,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_02,Maelle ora ha accesso a nuove abilità.,
ST_ActiveDialogs/ST_Dialog_Generic_No_05,No...,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_Conclude,Vuoi procedere con il discorso di Emma? Così si concluderà il festival e la Spedizione 33 partirà.,
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_01,Questo PNG è presente solo in questa anteprima.,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_01,Sì,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_03,Sì!,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_02,Sì.,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_04,Sì?,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_05,Sì...,
ST_ActiveDialogs/ST_Dialog_Generic_Option_Rematch,[Chiedi la rivincita],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Attack,[Attacca],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Cancel,[Annulla],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Examine,[Esamina],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Leave,[Abbandona],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Merchant,[Commercia],
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_TimeEventReward,"{TimeBronze}: per la ricompensa bronzo.
{TimeSilver}: per la ricompensa argento.
{TimeGold}: per la ricompensa oro.",
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_01,...,
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_02,...!,
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_03,...?,
ST_BattleTooltips/BATTLETOOLTIP_Absorb_Affinity,Assorbimento,
ST_BattleTooltips/BATTLETOOLTIP_Mayhem_CastInvalid,Non può lanciare {skills}. Macchie insufficienti.,
ST_BattleTooltips/BATTLETOOLTIP_Leadership_CastInvalid,Non può lanciare {skill} mentre è al rango D.,
ST_BattleTooltips/BATTLETOOLTIP_Overcharge_CastInvalid,Non può lanciare {skill} mentre è al rango S.,
ST_BattleTooltips/BATTLETOOLTIP_Rebirth_CastInvalid,Non può lanciare {skill}. Tutti gli alleati sono in vita.,
ST_BattleTooltips/BATTLETOOLTIP_Burden_CastInvalid,Non può lanciare {skill}. Gli alleati non hanno effetti di stato.,
ST_BattleTooltips/BATTLETOOLTIP_ElementalGenesis_CastInvalid,Non può lanciare {skill}. Macchie insufficienti.,
ST_BattleTooltips/BATTLETOOLTIP_RiggedDistribution_CastInvalid,Non può lanciare {skill}. Nessun presagio è attualmente applicato.,
ST_BattleTooltips/BATTLETOOLTIP_Egide_CastInvalid,Non può lanciare {skill}. Non ha alleati in vita.,
ST_BattleTooltips/BATTLETOOLTIP_SharedBlessing_CastInvalid,Non può lanciare {skill}. Non ci sono abbastanza alleati in vita.,
ST_BattleTooltips/BATTLETOOLTIP_SharedBlessing_TargetInvalid,Non può lanciare {skill}. Il bersaglio non ha alcun potenziamento.,
ST_BattleTooltips/BATTLETOOLTIP_RiggedDistribution_TargetInvalid,Non può lanciare {skill}. Il bersaglio non ha alcun presagio applicato.,
