key,source,target
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_02,戦闘チュートリアルをプレイしますか？,
ST_ActiveDialogs/ST_Dialog_Generic_Relationship_SpendTime,{Name}と過ごしますか？,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorial,決闘中、戦闘チュートリアルを行いますか？,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorialRematch,マエルと再戦しますか？,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Monoco,モノコのチュートリアルを行いますか？（今回のみ可能）,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Sciel,シエルのチュートリアルを行いますか？（今回のみ可能）,
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_Go,スタート！,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_01,マエルはペイントレスとしての記憶を取り戻した。,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_02,マエルは新しいスキルを使えるようになった。,
ST_ActiveDialogs/ST_Dialog_Generic_No_01,いいえ,
ST_ActiveDialogs/ST_Dialog_Generic_No_03,いいえ！,
ST_ActiveDialogs/ST_Dialog_Generic_No_02,いいえ。,
ST_ActiveDialogs/ST_Dialog_Generic_No_04,いいえ？,
ST_ActiveDialogs/ST_Dialog_Generic_No_05,いいえ…,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_Conclude,エマのスピーチを聞きますか？ これにより祭典が進行し、第33遠征隊が出発します。,
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_01,このNPCはこのプレビューにだけ登場。,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_01,はい,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_03,はい！,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_02,はい。,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_04,はい？,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_05,はい…,
ST_ActiveDialogs/ST_Dialog_Generic_Option_Rematch,[再戦を求める],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Attack,[攻撃する],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Cancel,[キャンセル],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Examine,[調べる],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Leave,[立ち去る],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Merchant,[取引する],
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_TimeEventReward,"{TimeBronze}で銅
{TimeSilver}で銀
{TimeGold}で金",
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_02,…！,
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_03,…？,
ST_BattleTooltips/BATTLETOOLTIP_Absorb_Affinity,吸収,
ST_BattleTooltips/BATTLETOOLTIP_Mayhem_CastInvalid,{skills}使用不可。ステインが足りない。,
ST_BattleTooltips/BATTLETOOLTIP_Leadership_CastInvalid,ランクDでは{skill}使用不可。,
ST_BattleTooltips/BATTLETOOLTIP_Overcharge_CastInvalid,ランクSでは{skill}使用不可。,
ST_BattleTooltips/BATTLETOOLTIP_Rebirth_CastInvalid,{skill}使用不可。戦闘不能の味方がいない。,
ST_BattleTooltips/BATTLETOOLTIP_Burden_CastInvalid,{skill}使用不可。状態異常を受けている味方がいない。,
ST_BattleTooltips/BATTLETOOLTIP_ElementalGenesis_CastInvalid,{skill}使用不可。ステインが足りない。,
ST_BattleTooltips/BATTLETOOLTIP_RiggedDistribution_CastInvalid,{skill}使用不可。フォーテルが付与されていない。,
ST_BattleTooltips/BATTLETOOLTIP_Egide_CastInvalid,{skill}使用不可。戦闘可能な味方がいない。,
ST_BattleTooltips/BATTLETOOLTIP_SharedBlessing_CastInvalid,{skill}使用不可。戦闘可能な味方が足りない。,
ST_BattleTooltips/BATTLETOOLTIP_SharedBlessing_TargetInvalid,{skill}使用不可。ターゲットにバフがかかっていない。,
ST_BattleTooltips/BATTLETOOLTIP_RiggedDistribution_TargetInvalid,{skill}使用不可。ターゲットにフォーテルが付与されていない。,
ST_BattleTooltips/BATTLETOOLTIP_DarkCleansing_TargetInvalid,{skill}使用不可。ターゲットに状態異常あるいはAPがない。,
ST_BattleTooltips/BATTLETOOLTIP_Leadership_Failed,発動失敗。{char}はランクを失えない。,
ST_BattleTooltips/BATTLETOOLTIP_Dark_DamageType,闇,
ST_BattleTooltips/BATTLETOOLTIP_Earth_DamageType,大地,
ST_BattleTooltips/BATTLETOOLTIP_Counter_AOE,第33遠征隊がカウンターを実行する。,
ST_BattleTooltips/BATTLETOOLTIP_Fire_DamageType,火,
ST_BattleTooltips/BATTLETOOLTIP_Ice_DamageType,氷,
ST_BattleTooltips/BATTLETOOLTIP_Light_DamageType,光,
ST_BattleTooltips/BATTLETOOLTIP_Lightning_DamageType,雷,
ST_BattleTooltips/BATTLETOOLTIP_Egide_TargetInvalid,マエルは自身に{skill}を使えない。,
ST_BattleTooltips/BATTLETOOLTIP_Nullify_Affinity,無効,
ST_BattleTooltips/BATTLETOOLTIP_Physical_DamageType,物理,
ST_BattleTooltips/BATTLETOOLTIP_ReserveTeam_Disabled,今は控えメンバーと交代できません。,
ST_BattleTooltips/BATTLETOOLTIP_Resistant_Affinity,耐性,
ST_BattleTooltips/BATTLETOOLTIP_Intervention_TargetInvalid,シエルは自身に{skill}を使えない。,
ST_BattleTooltips/BATTLETOOLTIP_SimonDuel,シモンが決闘に応じる。,
ST_BattleTooltips/BATTLETOOLTIP_Flee_Successful,遠征隊が逃走する。,
ST_BattleTooltips/BATTLETOOLTIP_Flee_Impossible,この戦闘からは逃げられない。,
ST_BattleTooltips/BATTLETOOLTIP_Flee_Start,遠征隊が逃走を開始する。,
ST_BattleTooltips/BATTLETOOLTIP_SteeledStrike_Start,ヴェルソが強力な攻撃の準備をする。,
ST_BattleTooltips/BATTLETOOLTIP_SteeledStrike_Success,ヴェルソがスチール・ストライクを放つ。,
ST_BattleTooltips/BATTLETOOLTIP_SteeledStrike_Fail,ヴェルソのスチール・ストライクは妨害された。,
ST_BattleTooltips/BATTLETOOLTIP_Void_DamageType,虚無,
ST_BattleTooltips/BATTLETOOLTIP_Weakness_Affinity,弱点！,
ST_BattleTooltips/BATTLETOOLTIP_Curse_Death,{Name}が呪いにより戦闘不能。,
ST_BattleTooltips/BATTLETOOLTIP_Charm_TurnStart,{Name}は魅了状態のため、自動で攻撃する。,
ST_BattleTooltips/BATTLETOOLTIP_Freeze_TurnStart,{Name}は凍結している。,
ST_BattleTooltips/BATTLETOOLTIP_Stun_TurnStart,{Name}は麻痺している。,
ST_BattleTooltips/BATTLETOOLTIP_Charm_End,{Name}の魅了解除。,
ST_BattleTooltips/BATTLETOOLTIP_Stun_End,{Name}の麻痺解除。,
ST_BattleTooltips/BATTLETOOLTIP_Freeze_End,{Name}が凍結状態から回復。,
ST_BattleTooltips/BATTLETOOLTIP_Curse_TurnStartSingular,{Name}が1ターン後に戦闘不能になる。,
ST_BattleTooltips/BATTLETOOLTIP_Curse_TurnStartPlural,{Name}が{Num}ターン後に戦闘不能になる。,
ST_BattleTooltips/BATTLETOOLTIP_Item_Use,{char name}が{item name}を使用する。,
ST_BattleTooltips/BATTLETOOLTIP_Resurrection,{character}がよみがえる。,
ST_BattleTooltips/BATTLETOOLTIP_Burn_TurnStart,{char}は火傷状態。,
ST_BattleTooltips/BATTLETOOLTIP_FortunesFury,{char}がこのターン、2倍のダメージを与える。,
ST_BattleTooltips/BATTLETOOLTIP_FireRage_Cast,{char}が旋風を起こそうとしている。,
ST_BattleTooltips/BATTLETOOLTIP_Typhoon_Cast,{char}が暴風を起こそうとしている。,
ST_BattleTooltips/BATTLETOOLTIP_Terraquake_Cast,{char}が地震を起こそうとしている。,
ST_BattleTooltips/BATTLETOOLTIP_Flee_Prepare,{char}が逃走準備をする。,
ST_BattleTooltips/BATTLETOOLTIP_StormCaller_Cast,{char}が稲妻の嵐を呼び起こす。,
ST_BattleTooltips/BATTLETOOLTIP_FireRage_TurnStart,{char}がファイアレイジを発動する。,
ST_BattleTooltips/BATTLETOOLTIP_Terraquake_TurnStart,{char}がテラクェイクを発動する。,
ST_BattleTooltips/BATTLETOOLTIP_StormCaller_TurnStart,{char}が落雷を発生させる。,
ST_BattleTooltips/BATTLETOOLTIP_Typhoon_TurnStart,{char}が暴風を引き起こす。,
ST_BattleTooltips/BATTLETOOLTIP_Attack_Use,{name}が攻撃する。,
ST_BattleTooltips/BATTLETOOLTIP_Counter_Regular,{name}がカウンターを実行する。,
ST_BattleTooltips/BATTLETOOLTIP_Counter_Gradient,{name}がグラディエントカウンターを実行する。,
ST_BattleTooltips/BATTLETOOLTIP_PlayAgain,{name}が再び行動する。,
ST_BattleTooltips/BATTLETOOLTIP_ImmediatePlay,{name}が即座に行動する。,
ST_BattleTooltips/BATTLETOOLTIP_Enrage_Effect,{self}は憤怒状態のため、もう一度攻撃する。,
ST_BattleTowerStages/ST_BattleTowerStages_Stage_01_Trial_01,ステージ1、試練1,
ST_BattleTowerStages/ST_BattleTowerStages_Stage_01_Trial_02,ステージ1、試練2,
ST_BattleTowerStages/ST_BattleTowerStages_Stage_01_Trial_03,ステージ1、試練3,
ST_BattleTowerStages/ST_BattleTowerStages_Stage_10_Trial_01,ステージ10、試練1,
ST_BattleTowerStages/ST_BattleTowerStages_Stage_10_Trial_02,ステージ10、試練2,
ST_BattleTowerStages/ST_BattleTowerStages_Stage_10_Trial_03,ステージ10、試練3,
ST_BattleTowerStages/ST_BattleTowerStages_Stage_11_Trial_01,ステージ11、試練1,
ST_BattleTowerStages/ST_BattleTowerStages_Stage_11_Trial_02,ステージ11、試練2,
ST_BattleTowerStages/ST_BattleTowerStages_Stage_11_Trial_03,ステージ11、試練3,
