key,source,target
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_02,배틀 튜토리얼을 플레이해 보시겠습니까?,
ST_ActiveDialogs/ST_Dialog_Generic_Relationship_SpendTime,"{Name}|hpp(과,와) 시간을 보내시겠습니까?",
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorial,결투 중 전투 튜토리얼을 진행하시겠습니까?,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorialRematch,마엘과 재대결하시겠습니까?,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Monoco,모노코의 튜토리얼을 플레이하시겠습니까? (지금만 플레이할 수 있습니다.),
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Sciel,시엘의 튜토리얼을 플레이하시겠습니까? (지금만 플레이할 수 있습니다.),
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_Go,출발!,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_01,마엘이 페인트리스의 기억을 되찾았습니다.,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_02,마엘은 이제 새로운 기술을 사용할 수 있습니다.,
ST_ActiveDialogs/ST_Dialog_Generic_No_01,아니,
ST_ActiveDialogs/ST_Dialog_Generic_No_03,아니!,
ST_ActiveDialogs/ST_Dialog_Generic_No_02,아니.,
ST_ActiveDialogs/ST_Dialog_Generic_No_04,아니?,
ST_ActiveDialogs/ST_Dialog_Generic_No_05,아니...,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_Conclude,엠마의 연설을 들으러 가시겠습니까? 계속하면 축제가 종료되고 33 원정대가 출발합니다.,
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_01,해당 NPC는 본 미리보기에만 등장합니다.,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_01,그래,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_03,그래!,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_02,그래.,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_04,그래?,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_05,그래...,
ST_ActiveDialogs/ST_Dialog_Generic_Option_Rematch,[재시합 요청],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Attack,[공격],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Cancel,[취소],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Examine,[살펴보기],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Leave,[떠나기],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Merchant,[거래],
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_TimeEventReward,"{TimeBronze}: 동메달 보상
{TimeSilver}: 은메달 보상
{TimeGold}: 금메달 보상",
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_01,...,
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_02,...!,
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_03,...?,
ST_BattleTooltips/BATTLETOOLTIP_Absorb_Affinity,흡수,
ST_BattleTooltips/BATTLETOOLTIP_Mayhem_CastInvalid,"{skills}|hpp(을,를) 시전할 수 없습니다. 얼룩이 부족합니다.",
ST_BattleTooltips/BATTLETOOLTIP_Leadership_CastInvalid,"랭크 D에서는 {skill}|hpp(을,를) 시전할 수 없습니다.",
ST_BattleTooltips/BATTLETOOLTIP_Overcharge_CastInvalid,"랭크 S에서는 {skill}|hpp(을,를) 시전할 수 없습니다.",
ST_BattleTooltips/BATTLETOOLTIP_Rebirth_CastInvalid,"{skill}|hpp(을,를) 시전할 수 없습니다. 모든 아군이 살아 있습니다.",
ST_BattleTooltips/BATTLETOOLTIP_Burden_CastInvalid,"{skill}|hpp(을,를) 시전할 수 없습니다. 아군에게 걸린 상태 효과가 없습니다.",
ST_BattleTooltips/BATTLETOOLTIP_ElementalGenesis_CastInvalid,"{skill}|hpp(을,를) 시전할 수 없습니다. 얼룩이 부족합니다.",
ST_BattleTooltips/BATTLETOOLTIP_RiggedDistribution_CastInvalid,"{skill}|hpp(을,를) 시전할 수 없습니다. 현재 적용된 예언이 없습니다.",
ST_BattleTooltips/BATTLETOOLTIP_Egide_CastInvalid,"{skill}|hpp(을,를) 시전할 수 없습니다. 살아 있는 아군이 없습니다.",
ST_BattleTooltips/BATTLETOOLTIP_SharedBlessing_CastInvalid,"{skill}|hpp(을,를) 시전할 수 없습니다. 살아 있는 아군이 부족합니다.",
ST_BattleTooltips/BATTLETOOLTIP_SharedBlessing_TargetInvalid,"{skill}|hpp(을,를) 시전할 수 없습니다. 대상에게 강화 효과가 없습니다.",
ST_BattleTooltips/BATTLETOOLTIP_RiggedDistribution_TargetInvalid,"{skill}|hpp(을,를) 시전할 수 없습니다. 대상에게 적용된 예언이 없습니다.",
ST_BattleTooltips/BATTLETOOLTIP_DarkCleansing_TargetInvalid,"{skill}|hpp(을,를) 시전할 수 없습니다. 대상에게 상태 효과 또는 AP가 없습니다.",
ST_BattleTooltips/BATTLETOOLTIP_Leadership_Failed,"시전 실패. {char}|hpp(이,가) 랭크를 잃지 않습니다.",
ST_BattleTooltips/BATTLETOOLTIP_Dark_DamageType,어둠,
ST_BattleTooltips/BATTLETOOLTIP_Earth_DamageType,대지,
ST_BattleTooltips/BATTLETOOLTIP_Counter_AOE,33 원정대가 카운터를 수행합니다.,
ST_BattleTooltips/BATTLETOOLTIP_Fire_DamageType,화염,
ST_BattleTooltips/BATTLETOOLTIP_Ice_DamageType,얼음,
