key,source,target
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_02,Chcesz rozegrać samouczek walki?,
ST_ActiveDialogs/ST_Dialog_Generic_Relationship_SpendTime,Chcesz spędzić czas z: {Name}?,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorial,Chcesz podczas pojedynku przejść samouczek dotyczący walki?,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorialRematch,Chcesz zmierzyć się z Maelle ponownie?,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Monoco,Chcesz rozegrać samouczek Monoco? Później nie będzie już dostępny.,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Sciel,Chcesz rozegrać samouczek Sciel? Później nie będzie już dostępny.,
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_Go,Do dzieła!,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_01,Maelle odzyskała swoje wspomnienia jako Malarka.,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_02,Maelle ma teraz dostęp do nowych umiejętności.,
ST_ActiveDialogs/ST_Dialog_Generic_No_01,Nie,
ST_ActiveDialogs/ST_Dialog_Generic_No_03,Nie!,
ST_ActiveDialogs/ST_Dialog_Generic_No_02,Nie.,
ST_ActiveDialogs/ST_Dialog_Generic_No_04,Nie?,
ST_ActiveDialogs/ST_Dialog_Generic_No_05,Nie…,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_Conclude,"Przejść do przemowy Emmy? Festyn dobiegnie końca, a Ekspedycja 33 wyruszy.",
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_01,Ta postać niezależna znajduje się tu jedynie na potrzeby wersji pokazowej.,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_01,Tak,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_03,Tak!,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_02,Tak.,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_04,Tak?,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_05,Tak…,
ST_ActiveDialogs/ST_Dialog_Generic_Option_Rematch,[Poproś o rewanż],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Attack,[Zaatakuj],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Cancel,[Anuluj],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Examine,[Przyjrzyj się],
