key,source,target
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_02,要游玩战斗教程吗？,
ST_ActiveDialogs/ST_Dialog_Generic_Relationship_SpendTime,要和{Name}独自待一会儿吗？,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorial,对决期间是否希望看到战斗教程？,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorialRematch,要和玛埃尔再比试一次吗？,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Monoco,要体验莫诺柯的教程吗？（仅此一次，以后不补。）,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Sciel,要体验熙艾尔的教程吗？（仅此一次，以后不补。）,
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_Go,开始！,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_01,玛埃尔想起了自己从前绘画的记忆。,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_02,玛埃尔可以运用新技能了。,
ST_ActiveDialogs/ST_Dialog_Generic_No_01,否,
ST_ActiveDialogs/ST_Dialog_Generic_No_03,！,
ST_ActiveDialogs/ST_Dialog_Generic_No_02,[摇头],
ST_ActiveDialogs/ST_Dialog_Generic_No_04,啊？,
ST_ActiveDialogs/ST_Dialog_Generic_No_05,啊……,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_Conclude,是否开始听艾玛的演讲？那么庆典活动就会结束，33号远征队就会踏上征途。,
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_01,此NPC目前仅供预览。,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_01,是,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_03,嗯！,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_02,嗯。,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_04,嗯？,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_05,嗯……,
ST_ActiveDialogs/ST_Dialog_Generic_Option_Rematch,[要求再比一次],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Attack,[攻击],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Cancel,[取消],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Examine,[观察],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Leave,[离开],
ST_ActiveDialogs/ST_Dialog_Generic_Option_Merchant,[交易],
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_TimeEventReward,"{TimeBronze}内完成，可以获得铜奖
{TimeSilver}内完成，可以获得银奖
{TimeGold}内完成，可以获得金奖",
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_01,……,
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_02,……！,
ST_ActiveDialogs/ST_Dialog_Generic_Ellipsis_03,……？,
ST_BattleTooltips/BATTLETOOLTIP_Absorb_Affinity,元素吸收,
ST_BattleTooltips/BATTLETOOLTIP_Mayhem_CastInvalid,异色不足，无法施展{skills}。,
ST_BattleTooltips/BATTLETOOLTIP_Leadership_CastInvalid,D阶无法施展{skill}。,
ST_BattleTooltips/BATTLETOOLTIP_Overcharge_CastInvalid,S阶无法施展{skill}。,
ST_BattleTooltips/BATTLETOOLTIP_Rebirth_CastInvalid,无法施展{skill}。没有友方阵亡。,
ST_BattleTooltips/BATTLETOOLTIP_Burden_CastInvalid,无法发动{skill}。友方没有状态效果。,
ST_BattleTooltips/BATTLETOOLTIP_ElementalGenesis_CastInvalid,异色不足，无法施展{skill}。,
ST_BattleTooltips/BATTLETOOLTIP_RiggedDistribution_CastInvalid,无法施展{skill}。当前没有施加先见。,
ST_BattleTooltips/BATTLETOOLTIP_Egide_CastInvalid,无法施展{skill}。友方均已阵亡。,
ST_BattleTooltips/BATTLETOOLTIP_SharedBlessing_CastInvalid,无法施展{skill}。阵亡友方数量过多。,
ST_BattleTooltips/BATTLETOOLTIP_SharedBlessing_TargetInvalid,无法施展{skill}。目标没有增益效果。,
ST_BattleTooltips/BATTLETOOLTIP_RiggedDistribution_TargetInvalid,无法施展{skill}。目标未被施加先见。,
ST_BattleTooltips/BATTLETOOLTIP_DarkCleansing_TargetInvalid,无法施展{skill}。目标没有状态效果和行动点数。,
ST_BattleTooltips/BATTLETOOLTIP_Leadership_Failed,施展失败。{char}无法降阶。,
ST_BattleTooltips/BATTLETOOLTIP_Dark_DamageType,暗影,
ST_BattleTooltips/BATTLETOOLTIP_Earth_DamageType,大地,
ST_BattleTooltips/BATTLETOOLTIP_Counter_AOE,33号远征队反击。,
ST_BattleTooltips/BATTLETOOLTIP_Fire_DamageType,炎火,
ST_BattleTooltips/BATTLETOOLTIP_Ice_DamageType,冰霜,
ST_BattleTooltips/BATTLETOOLTIP_Light_DamageType,光明,
ST_BattleTooltips/BATTLETOOLTIP_Lightning_DamageType,雷电,
ST_BattleTooltips/BATTLETOOLTIP_Egide_TargetInvalid,玛埃尔无法对自己施展{skill}。,
ST_BattleTooltips/BATTLETOOLTIP_Nullify_Affinity,抵消,
ST_BattleTooltips/BATTLETOOLTIP_Physical_DamageType,物理,
ST_BattleTooltips/BATTLETOOLTIP_ReserveTeam_Disabled,预备队现已禁用。,
ST_BattleTooltips/BATTLETOOLTIP_Resistant_Affinity,元素抵抗,
ST_BattleTooltips/BATTLETOOLTIP_Intervention_TargetInvalid,熙艾尔无法对自己施放{skill}。,
ST_BattleTooltips/BATTLETOOLTIP_SimonDuel,西蒙接受与你们决斗。,
ST_BattleTooltips/BATTLETOOLTIP_Flee_Successful,远征队逃跑成功。,
ST_BattleTooltips/BATTLETOOLTIP_Flee_Impossible,这场战斗远征队无法逃跑。,
ST_BattleTooltips/BATTLETOOLTIP_Flee_Start,远征队开始逃跑。,
ST_BattleTooltips/BATTLETOOLTIP_SteeledStrike_Start,维尔索准备发动强力攻击。,
ST_BattleTooltips/BATTLETOOLTIP_SteeledStrike_Success,维尔索发动钢铁洪流。,
ST_BattleTooltips/BATTLETOOLTIP_SteeledStrike_Fail,维尔索的钢铁洪流被打断了。,
ST_BattleTooltips/BATTLETOOLTIP_Void_DamageType,虚空,
ST_BattleTooltips/BATTLETOOLTIP_Weakness_Affinity,元素克制！,
ST_BattleTooltips/BATTLETOOLTIP_Curse_Death,{Name}死于诅咒。,
ST_BattleTooltips/BATTLETOOLTIP_Charm_TurnStart,{Name}迷惑，自动攻击。,
ST_BattleTooltips/BATTLETOOLTIP_Freeze_TurnStart,{Name}冰封。,
ST_BattleTooltips/BATTLETOOLTIP_Stun_TurnStart,{Name}眩晕。,
ST_BattleTooltips/BATTLETOOLTIP_Charm_End,{Name}不再迷惑。,
ST_BattleTooltips/BATTLETOOLTIP_Stun_End,{Name}眩晕结束。,
ST_BattleTooltips/BATTLETOOLTIP_Freeze_End,{Name}不再冰封。,
ST_BattleTooltips/BATTLETOOLTIP_Curse_TurnStartSingular,{Name}将于1回合后死亡。,
ST_BattleTooltips/BATTLETOOLTIP_Curse_TurnStartPlural,{Name}将于{Num}回合后死亡。,
ST_BattleTooltips/BATTLETOOLTIP_Item_Use,{char name}使用{item name}。,
ST_BattleTooltips/BATTLETOOLTIP_Resurrection,{character}复活了。,
ST_BattleTooltips/BATTLETOOLTIP_Burn_TurnStart,{char}身上着火。,
ST_BattleTooltips/BATTLETOOLTIP_FortunesFury,{char}这个回合伤害翻倍。,
ST_BattleTooltips/BATTLETOOLTIP_FireRage_Cast,{char}准备施展火雨。,
ST_BattleTooltips/BATTLETOOLTIP_Typhoon_Cast,{char}准备卷起台风。,
ST_BattleTooltips/BATTLETOOLTIP_Terraquake_Cast,{char}准备撼动大地。,
ST_BattleTooltips/BATTLETOOLTIP_Flee_Prepare,{char}准备逃跑。,
ST_BattleTooltips/BATTLETOOLTIP_StormCaller_Cast,{char}召唤雷电风暴。,
ST_BattleTooltips/BATTLETOOLTIP_FireRage_TurnStart,{char}触发滔天怒火。,
ST_BattleTooltips/BATTLETOOLTIP_Terraquake_TurnStart,{char}触发地动山摇,
ST_BattleTooltips/BATTLETOOLTIP_StormCaller_TurnStart,{char}触发雷击。,
