key,source,target
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_02,是否遊玩戰鬥教學？,
ST_ActiveDialogs/ST_Dialog_Generic_Relationship_SpendTime,要陪{Name}一會嗎？,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorial,對決期間是否要看戰鬥教學？,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_BattleTutorialRematch,要和瑪艾兒重新對戰嗎？,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Monoco,是否體驗莫諾柯的教學？（教學僅開放這一次）,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_Sciel,是否體驗熙爾的教學？（教學僅開放這一次）,
ST_ActiveDialogs/ST_Dialog_Generic_Minigame_Go,開始！,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_01,瑪艾兒已恢復身為繪師的記憶。,
ST_ActiveDialogs/ST_Dialog_Generic_CharacterTutorial_MaelleUnlockSkill_02,瑪艾兒可以使用新技能了。,
ST_ActiveDialogs/ST_Dialog_Generic_No_01,否,
ST_ActiveDialogs/ST_Dialog_Generic_No_03,不！,
ST_ActiveDialogs/ST_Dialog_Generic_No_02,不。,
ST_ActiveDialogs/ST_Dialog_Generic_No_04,啊？,
ST_ActiveDialogs/ST_Dialog_Generic_No_05,啊……,
ST_ActiveDialogs/ST_Dialog_Generic_ExpFestival_Conclude,是否要開始聽艾瑪的演講嗎？如果開始聽，慶典活動就會結束，33號遠征隊就會踏上征途。,
ST_ActiveDialogs/ST_Dialog_Generic_DemoOnlyTutorial_01,此NPC僅出於預覽目的而出現在此處。,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_01,是,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_03,嗯！,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_02,嗯。,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_04,嗯？,
ST_ActiveDialogs/ST_Dialog_Generic_Yes_05,嗯……,
ST_ActiveDialogs/ST_Dialog_Generic_Option_Rematch,[要求重新對戰],
